Time,PV,Nodefint,Defint_Original,Defint_Scheduled,Grid_g,Charge,Discharge,SOC,Bin_Charge,Bin_Discharge,Price,Battery_capacity
2016-06-18 00:00:00,0.0276,0.3186,0.1581,0,1.541,1.25,0,1.1875,1,0,0.1,2.5
2016-06-18 01:00:00,0.0253,0.3405,0.1452,0,1.5652,1.25,0,2.375,1,-0,0.1,2.5
2016-06-18 02:00:00,0.0259,0.343,0.1322,0,0.3171,0,0,2.375,-0,-0,0.1,2.5
2016-06-18 03:00:00,0.0245,0.3359,0.1164,0.2956,0.6071,0,0,2.375,-0,-0,0.1,2.5
2016-06-18 04:00:00,0.0255,0.3368,0.1171,0.373,0.6843,0,0,2.375,-0,-0,0.1,2.5
2016-06-18 05:00:00,0.0223,0.3556,0.1168,0.373,0.7062,0,0,2.375,-0,-0,0.1,2.5
2016-06-18 06:00:00,0.0218,0.3291,0.1264,0.373,0.6803,0,0,2.375,-0,-0,0.1,2.5
2016-06-18 07:00:00,0.0286,0.3094,0.1183,0.373,0.7854,0.1316,0,2.5,1,-0,0.1,2.5
2016-06-18 08:00:00,0.0721,0.3723,0.063,0,0.3002,0,0,2.5,-0,-0,0.25,2.5
2016-06-18 09:00:00,0.0522,0.4999,0.0647,0,0.4477,0,0,2.5,-0,-0,0.25,2.5
2016-06-18 10:00:00,0.1956,0.3981,0,0,0.2026,0,0,2.5,-0,0,0.25,2.5
2016-06-18 11:00:00,0.3819,0.4577,0,0,-1.0492,0,1.125,1.3158,-0,1,0.25,2.5
2016-06-18 12:00:00,0.4442,0.6248,0.1983,0,-1.0694,0,1.25,0,-0,1,0.25,2.5
2016-06-18 13:00:00,0.3331,0.6755,0.1158,0,0.3424,0,0,0,-0,-0,0.25,2.5
2016-06-18 14:00:00,0.3165,0.6209,0.0845,0,0.3044,0,0,0,-0,-0,0.25,2.5
2016-06-18 15:00:00,0.3139,0.5126,0,0,0.1987,0,0,0,-0,-0,0.25,2.5
2016-06-18 16:00:00,0.2796,0.5707,0.0708,0,0.291,0,0,0,-0,-0,0.25,2.5
2016-06-18 17:00:00,0.1901,0.5744,0.0506,0,0.3842,0,0,0,-0,-0,0.25,2.5
2016-06-18 18:00:00,0.0747,0.682,0.0366,0,0.6073,0,0,0,-0,-0,0.25,2.5
2016-06-18 19:00:00,0.0233,0.8367,0.0495,0,0.8135,0,0,0,-0,-0,0.25,2.5
2016-06-18 20:00:00,0.0039,0.7769,0.0847,0,0.773,0,0,0,-0,-0,0.25,2.5
2016-06-18 21:00:00,0.0201,0.7163,0.1451,0,0.6962,0,0,0,-0,-0,0.25,2.5
2016-06-18 22:00:00,0.0234,0.7161,0.373,0.373,1.0657,0,0,0,-0,-0,0.1,2.5
2016-06-18 23:00:00,0.0148,0.6856,0.1665,0.373,1.0438,0,0,0,-0,0,0.1,2.5
